timestamp,ip,port,request_type,request_info
2025-05-16 16:34:54,95.2.52.145,61196,GET,Request: GET / HTTP/1.1 [User-Agent: curl/8.11.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-26 12:30:46,24.133.24.34,34104,GET,Request: GET / HTTP/1.1 [User-Agent: curl/8.12.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-26 12:41:30,176.65.148.243,36360,GET,Request: GET / HTTP/1.1 [User-Agent: ] [OS: Bilinmiyor]
2025-05-26 12:42:43,185.247.137.66,58333,GET,Request: GET / HTTP/1.1 [User-Agent: Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)] [OS: Bilinmiyor]
2025-05-26 22:18:32,24.133.24.34,34670,GET,Request: GET / HTTP/1.1 [User-Agent: curl/8.12.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-26 22:26:47,103.186.101.248,33838,Bilinmeyen,Request: CONNECT google.com:443 HTTP/1.1 [User-Agent: Go-http-client/1.1] [OS: Bilinmiyor]
2025-05-26 22:36:06,24.133.24.34,35249,GET,Request: GET / HTTP/1.1 [User-Agent: curl/8.12.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-26 22:36:23,24.133.24.34,35265,GET,Request: GET / HTTP/1.1 [User-Agent: curl/8.12.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-26 22:36:25,24.133.24.34,35266,GET,Request: GET / HTTP/1.1 [User-Agent: curl/8.12.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-26 22:50:23,24.133.24.34,35635,GET,Request: GET / HTTP/1.1 [User-Agent: curl/8.12.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-26 22:50:26,24.133.24.34,35636,GET,Request: GET / HTTP/1.1 [User-Agent: curl/8.12.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-26 22:50:29,24.133.24.34,35639,GET,Request: GET / HTTP/1.1 [User-Agent: curl/8.12.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:14:21,24.133.24.34,34048,GET,Request: GET / HTTP/1.1 [User-Agent: curl/8.12.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:14:28,24.133.24.34,34050,POST,Request: POST Form Data: {} [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:14:39,24.133.24.34,34061,POST,Request: POST Form Data: {} [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:14:41,24.133.24.34,34062,POST,Request: POST Form Data: {} [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:30:46,24.133.24.34,34449,POST,Request: POST Form Data: {} [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:31:15,24.133.24.34,34453,POST,Request: POST Form Data: {} [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:31:17,24.133.24.34,34454,POST,Request: POST Form Data: {} [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:31:18,24.133.24.34,34455,POST,Request: POST Form Data: {} [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:31:28,24.133.24.34,34457,GET,Request: GET / HTTP/1.1 [User-Agent: curl/8.12.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:33:41,24.133.24.34,34503,GET,GET / HTTP/1.1 Request: GET / HTTP/1.1 [User-Agent: curl/8.12.1] [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:33:45,24.133.24.34,34504,POST,POST Request: POST Form Data: {} [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:33:47,24.133.24.34,34505,POST,POST Request: POST Form Data: {} [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:33:49,24.133.24.34,34506,POST,POST Request: POST Form Data: {} [OS: Komut Satırı (Linux/macOS)]
2025-05-27 00:41:36,182.45.140.4,50480,Bilinmeyen,Boş istek Request: Boş istek [User-Agent: ] [OS: Bilinmiyor]
2025-05-27 00:44:36,152.53.248.175,42844,Bilinmeyen,CONNECT www.google.com:443 HTTP/1.1 Request: CONNECT www.google.com:443 HTTP/1.1 [User-Agent: Go-http-client/1.1] [OS: Bilinmiyor]
2025-05-27 01:13:29,68.69.186.106,52954,Bilinmeyen,CONNECT www.google.com:443 HTTP/1.1 Request: CONNECT www.google.com:443 HTTP/1.1 [User-Agent: Go-http-client/1.1] [OS: Bilinmiyor]
